# parameter s, X-Column, Y-Column
0.000000000000000000e+00 1.006502256275440876e+00 2.991698882486969885e-07
2.903031571366777169e-03 9.540840660712753829e-01 1.246484517392329461e-02
5.799726501675557706e-03 9.015287738867138190e-01 2.406812892052461947e-02
8.691317000379752272e-03 8.488483211714106247e-01 3.485517672865540845e-02
1.157866230471393983e-02 7.960528614659965196e-01 4.485441364094944899e-02
1.446230253007744181e-02 7.431512260328607677e-01 5.407705934937269421e-02
1.734250509547369257e-02 6.901514050788208898e-01 6.251634511512119130e-02
2.021930973655532149e-02 6.370610498318082238e-01 7.014647098745274700e-02
2.309257923070780205e-02 5.838880036210472024e-01 7.692117768374251430e-02
2.596206491907204761e-02 5.306408749231076305e-01 8.277173097290309312e-02
2.882749973101256594e-02 4.773296736963230646e-01 8.760398052128122448e-02
3.168873847821608580e-02 4.239665475733094269e-01 9.129390160212529082e-02
3.457770920655192648e-02 3.702677477930338967e-01 9.361976283911380148e-02
3.749100694585633109e-02 3.162946739562099707e-01 9.407257616616664098e-02
4.040509177009084241e-02 2.623404646244426042e-01 9.233242685695774998e-02
4.332443827566991729e-02 2.084827142817975987e-01 8.800932223083535177e-02
4.625908678338296054e-02 1.548319397493624350e-01 8.050979559358333038e-02
4.923412744262501556e-02 1.015638110162552232e-01 6.878174714061496831e-02
5.233439139795855594e-02 4.903652868944598231e-02 5.031153959729767200e-02
5.727022356051986174e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.214240715264335996e-02 5.690799762634349279e-02 -4.041860213173603666e-02
6.509541550429126522e-02 1.103252416153237270e-01 -5.039890254152632615e-02
6.789175884087854385e-02 1.630016391980059764e-01 -5.504007419300231685e-02
7.062969201092933469e-02 2.152953909813603017e-01 -5.685575436079656764e-02
7.334272603052215123e-02 2.673821669545047852e-01 -5.689804284949584456e-02
7.604701330741868437e-02 3.193724839385268521e-01 -5.576040635331623585e-02
7.875176070167237696e-02 3.713439364174924706e-01 -5.383283755290951822e-02
8.148750778303383291e-02 4.235896629530063739e-01 -5.135672363433706200e-02
8.426191045768680055e-02 4.761710631457821696e-01 -4.825849374936648506e-02
8.704525997932406611e-02 5.288043882347871483e-01 -4.464150443332166873e-02
8.983836962463341569e-02 5.815017858526370098e-01 -4.062978041295427917e-02
9.264179474076822407e-02 6.342732659576654219e-01 -3.631747202191750595e-02
9.545600751688713970e-02 6.871274370264421893e-01 -3.177331349129877691e-02
9.828151987199891526e-02 7.400721423881919669e-01 -2.704356410372295294e-02
1.011189757494726227e-01 7.931150332708456485e-01 -2.215402380993220649e-02
1.039692264672018585e-01 8.462640998812209769e-01 -1.711146134873051117e-02
1.068333988149526709e-01 8.995281734817072161e-01 -1.190465702815188612e-02
1.097129634255553099e-01 9.529174076129350857e-01 -6.505185805562569042e-03
1.126266207665047731e-01 1.006502256275440876e+00 2.991698882486969885e-07
